sample_index,source_index,jid,formula,nat,space_group_number,crystal_system,formation_energy_peratom,optb88vdw_bandgap,split
3829,55088,JVASP-123466,U3Be,4,25,orthorhombic,0.13989,0.0,train
3830,90258,JVASP-186964,Lu3ScH,5,221,cubic,-0.1415,0.0,train
3831,64881,JVASP-140322,Li4CuSbO6,24,15,monoclinic,-1.78125,0.418,train
3832,48221,JVASP-110552,NdGa3Pt,5,119,tetragonal,-0.71625,0.0,train
3833,17088,JVASP-99933,SmGa3Pd,5,119,tetragonal,-0.66122,0.0,train
3834,7896,JVASP-75549,AsRu2Pt,4,216,cubic,0.42568,0.0,train
3835,40865,JVASP-12552,H4BrN,12,129,tetragonal,-0.50395,4.491,train
3836,91506,JVASP-187001,TiMn2W,4,123,tetragonal,-0.09408,0.0,train
3837,10645,JVASP-74174,ZrTiBe2,4,119,tetragonal,0.11793,0.0,train
3838,80978,JVASP-179806,NbSeBr2,4,99,tetragonal,-0.48769,0.0,train
3839,17604,JVASP-103252,Eu3Mg,4,25,orthorhombic,0.01161,0.0,train
3840,86893,JVASP-183080,Sc2GaRh,4,225,cubic,-0.81132,0.0,train
3841,63550,JVASP-123497,LiU3,4,25,orthorhombic,0.26481,0.0,train
3842,61525,JVASP-133139,PdN2,12,205,cubic,0.38158,0.137,train
3843,17723,JVASP-15505,Zr2CS,8,194,hexagonal,-1.49204,0.0,train
3844,2367,JVASP-62020,HfInAu2,4,225,cubic,-0.3995,0.0,train
3845,89503,JVASP-187554,TiV2SnH,5,123,tetragonal,-0.19584,0.0,train
3846,14359,JVASP-44049,Fe4OF7,24,12,monoclinic,-1.95628,0.0,train
3847,34031,JVASP-41555,Y2MgRu,4,225,cubic,-0.23864,0.0,train
3848,42821,JVASP-22183,CeB2Ru2,10,70,orthorhombic,-0.53153,0.0,train
3849,42037,JVASP-20996,CaSO4,12,63,orthorhombic,-2.32815,6.472,train
3850,74922,JVASP-145967,Li3Fe4O8,15,12,monoclinic,-1.66977,0.0,train
3851,63635,JVASP-143566,Li7Mn2Co3O12,24,8,monoclinic,-1.89755,0.0,train
3852,87016,JVASP-163598,UHg3Te2Cl6,24,14,monoclinic,-0.95267,0.071,train
3853,5755,JVASP-67185,Be2RuCl,4,99,tetragonal,0.03639,0.0,train
3854,68843,JVASP-146730,Li4Mn5Cu3O16,28,8,monoclinic,-1.64507,0.0,train
3855,38043,JVASP-40167,CeNiO3,5,221,cubic,-2.33093,0.0,train
3856,3946,JVASP-62936,BH2N,48,96,tetragonal,-0.56276,4.945,train
3857,37206,JVASP-40501,DyMgAu2,4,225,cubic,-0.83948,0.0,train
3858,83851,JVASP-180283,Ba2GaTe,4,225,cubic,-0.85226,0.0,train
3859,19378,JVASP-106555,Mg2Sb,6,71,orthorhombic,-0.2569,0.0,train
3860,28328,JVASP-79983,MgRh3,4,44,orthorhombic,-0.28696,0.0,train
3861,16684,JVASP-101162,LiNdSe2,4,123,tetragonal,-1.69615,0.085,train
3862,76718,JVASP-99077,K3FeC6N6,32,14,monoclinic,-0.20606,0.0,train
3863,81941,JVASP-169621,YFe2,6,227,cubic,-0.13921,0.0,train
3864,42665,JVASP-13257,Cu4SnP10,15,160,trigonal,-0.14245,0.437,train
3865,31926,JVASP-41845,BeGaRh2,4,225,cubic,-0.63433,0.0,train
3866,52808,JVASP-119365,Li2Mn3FeO8,14,166,trigonal,-1.96859,0.008,train
3867,32745,JVASP-27246,NiCl2O8,11,148,trigonal,0.06888,1.248,train
3868,49708,JVASP-114771,NCl3,4,1,triclinic,0.78567,0.78,train
3869,47871,JVASP-55258,Sr2SiO4,28,14,monoclinic,-3.25902,4.971,train
3870,16857,JVASP-15571,SmCo3B2,6,191,hexagonal,-0.44861,0.0,train
3871,17302,JVASP-101063,PrAsPd,6,194,hexagonal,-1.19489,0.0,train
3872,82183,JVASP-169241,LiCa2Ge3,24,58,orthorhombic,-0.68084,0.0,train
3873,23570,JVASP-8367,Ca3BiN,5,221,cubic,-1.19778,0.431,train
3874,74640,JVASP-153956,AlMo4S8,13,216,cubic,-0.96276,0.0,train
3875,47834,JVASP-14244,BaTl2Hg2,20,136,tetragonal,-0.25033,0.0,train
3876,23301,JVASP-47526,LiMnPO4,14,5,monoclinic,-2.15882,2.197,train
3877,7958,JVASP-75885,ZnRe2As,4,216,cubic,0.4745,0.0,train
3878,88778,JVASP-176645,Er3CrB7,22,63,orthorhombic,-0.65233,0.0,train
3879,58415,JVASP-124463,I3Cl,4,38,orthorhombic,-0.09446,1.339,train
3880,35665,JVASP-39498,BaSrSn,3,216,cubic,-0.30491,0.083,train
3881,41451,JVASP-53125,NaClO2,4,8,monoclinic,-0.70306,2.579,train
3882,90786,JVASP-190401,Al2CuPd,4,225,cubic,-0.52952,0.0,train
3883,57014,JVASP-121662,Ba3Mn2N4,18,15,monoclinic,-0.60204,0.0,train
3884,66491,JVASP-131061,TlGa,2,187,hexagonal,0.09793,0.0,train
3885,19993,JVASP-104118,H10C16SO,28,1,triclinic,0.02279,1.799,train
3886,66657,JVASP-142371,Sr4CaCl10,15,71,orthorhombic,-2.6168,5.143,train
3887,37960,JVASP-37936,BaTh3,4,139,tetragonal,0.34013,0.0,train
3888,71139,JVASP-147164,Li2NiSnP2O8,28,11,monoclinic,-2.02111,0.879,train
3889,87459,JVASP-168033,Pr2InNi2,10,127,tetragonal,-0.48868,0.0,train
3890,81969,JVASP-182912,CrNiF2,4,99,tetragonal,-1.07174,0.0,train
3891,55238,JVASP-121051,GaPS4,6,65,orthorhombic,-0.00967,0.0,train
3892,31301,JVASP-41830,Ho2TlCd,4,225,cubic,-0.35294,0.0,train
3893,24633,JVASP-8078,Ti2FeSe4,7,12,monoclinic,-0.9304,0.0,train
3894,19546,JVASP-106841,Ca2TlCd,4,123,tetragonal,-0.49107,0.0,train
3895,54748,JVASP-120951,CaCrO2,4,166,trigonal,-2.22801,0.0,train
3896,68210,JVASP-157275,Pr2MgZn,4,225,cubic,-0.19786,0.0,train
3897,50731,JVASP-113095,Ho2As7Rh12,21,147,trigonal,-0.63639,0.0,train
3898,3366,JVASP-90784,MgTi,4,129,tetragonal,0.03424,0.0,train
3899,57532,JVASP-122414,BaO4,10,15,monoclinic,-1.27867,0.0,train
3900,42441,JVASP-22075,Tm2Ge2O7,44,92,tetragonal,-2.81841,3.819,train
3901,77321,JVASP-159676,LiThNO,8,26,orthorhombic,-2.24457,1.841,train
3902,82902,JVASP-179178,BeGaRh,3,187,hexagonal,-0.17555,0.0,train
3903,29193,JVASP-80484,SrMg,4,194,hexagonal,0.42025,0.0,train
3904,72678,JVASP-145577,LiMn2O2F3,16,15,monoclinic,-2.34328,0.628,train
3905,19836,JVASP-104155,H4C7S2O,14,1,triclinic,0.01722,1.522,train
3906,44602,JVASP-108750,MoCl2O,4,71,orthorhombic,-1.3877,0.0,train
3907,91414,JVASP-189952,NbVW2,4,225,cubic,0.24924,0.0,train
3908,30751,JVASP-54348,Np3In,4,221,cubic,0.14965,0.0,train
3909,29926,JVASP-35783,ScCu2,3,139,tetragonal,-0.3041,0.0,train
3910,92322,JVASP-188580,ZrScTc4,6,216,cubic,-0.31171,0.0,train
3911,15991,JVASP-100327,U2AsP,4,123,tetragonal,-0.84989,0.0,train
3912,27716,JVASP-79959,Pm2SiAu,4,225,cubic,-0.66942,0.0,train
3913,70348,JVASP-146401,LaZrF7,18,4,monoclinic,-4.10087,6.288,train
3914,8446,JVASP-86960,LaZnPO,8,129,tetragonal,-2.02568,0.625,train
3915,35443,JVASP-38499,PrDyTl2,4,225,cubic,-0.37756,0.0,train
3916,8954,JVASP-93105,CeMg6Sb,8,38,orthorhombic,-0.09576,0.0,train
3917,84878,JVASP-165710,SrTaNO2,20,8,monoclinic,-2.63245,1.295,train
3918,31658,JVASP-23490,CaIn4Ir,12,51,orthorhombic,-0.35894,0.0,train
3919,75624,JVASP-157380,Mg2TlZn,4,225,cubic,-0.02456,0.0,train
3920,10938,JVASP-71661,BeCu2Ni,4,119,tetragonal,-0.07377,0.0,train
3921,80197,JVASP-166625,K2Sm2IrO7,24,167,trigonal,-2.30967,0.172,train
3922,92282,JVASP-192769,MgZrZnNi,4,216,cubic,-0.35084,0.0,train
3923,26715,JVASP-79181,Mg3C,4,99,tetragonal,0.57979,0.0,train
3924,85158,JVASP-185658,YP3,4,139,tetragonal,-0.42523,0.0,train
3925,52656,JVASP-118009,CdO,2,123,tetragonal,-0.79992,0.0,train
3926,33099,JVASP-28543,Mo2WS6,9,187,hexagonal,-0.91328,0.877,train
3927,12584,JVASP-74593,BeRhW,3,156,trigonal,-0.12204,0.0,train
3928,70543,JVASP-146027,Th6MnBr15,22,229,cubic,-1.62245,0.0,train
3929,85854,JVASP-180005,RbFeO,3,187,hexagonal,-0.58102,0.0,train
3930,84837,JVASP-186167,CdInO,3,187,hexagonal,-0.52634,0.0,train
3931,50040,JVASP-115032,NaGeS,3,187,hexagonal,-0.01832,0.0,train
3932,55313,JVASP-123639,AgSe2,3,12,monoclinic,-0.01222,0.0,train
3933,23728,JVASP-11413,P2Rh,12,14,monoclinic,-0.65203,0.437,train
3934,5270,JVASP-88430,Tl3BS3,14,11,monoclinic,-0.49312,1.177,train
3935,88170,JVASP-169073,Dy3BiRu4O14,22,166,trigonal,-2.14139,0.0,train
3936,67355,JVASP-138089,MgBeBr,3,99,tetragonal,0.24515,0.0,train
3937,35763,JVASP-40386,LiInAu2,4,225,cubic,-0.4238,0.0,train
3938,74765,JVASP-146506,Cr2Fe3N4,18,15,monoclinic,-0.21185,0.0,train
3939,55781,JVASP-123983,MgXe,2,187,hexagonal,0.5928,0.0,train
3940,1972,JVASP-44105,Tm3TaO7,22,63,orthorhombic,-3.67934,3.431,train
3941,54121,JVASP-117520,BTe3,4,1,triclinic,0.26885,0.0,train
3942,44754,JVASP-109144,TaSiGe,9,153,trigonal,-0.24004,0.0,train
3943,29534,JVASP-29796,UH2O4,7,5,monoclinic,-2.20265,1.785,train
3944,51740,JVASP-117206,LiTiFeO4,28,62,orthorhombic,-2.36787,0.0,train
3945,63467,JVASP-136888,KP,2,187,hexagonal,0.29132,0.0,train
3946,19533,JVASP-102521,LiMg,2,123,tetragonal,-0.11439,0.0,train
3947,8453,JVASP-68825,Be2FeRu,4,123,tetragonal,-0.12964,0.0,train
3948,70488,JVASP-146947,MgSi,12,2,triclinic,0.04681,0.0,train
3949,9985,JVASP-95954,InH3O3,28,148,trigonal,-1.29039,2.962,train
3950,41080,JVASP-9607,Cd2SiO4,14,70,orthorhombic,-1.96799,1.687,train
3951,70988,JVASP-157208,TiCr2Mo,4,225,cubic,-0.02906,0.0,train
3952,18878,JVASP-101031,TiMnIr2,4,225,cubic,-0.55667,0.0,train
3953,4056,JVASP-85891,Nd3Ni13B2,18,191,hexagonal,-0.39868,0.0,train
3954,92882,JVASP-188598,ScNi2,6,227,cubic,-0.57994,0.0,train
3955,72409,JVASP-154622,Li2MgIr,16,215,cubic,-0.28938,0.0,train
3956,1378,JVASP-98011,KCeGeSe4,14,4,monoclinic,-1.16971,0.0,train
3957,1938,JVASP-86789,K2SnHgSe4,8,121,tetragonal,-0.73675,1.472,train
3958,86566,JVASP-166000,LiAsSe2,8,11,monoclinic,-0.61211,0.365,train
3959,41964,JVASP-10850,VO2,12,227,cubic,-2.35457,0.0,train
3960,6245,JVASP-88770,Ba3Nb6Si4O26,39,189,hexagonal,-2.95535,2.422,train
3961,8362,JVASP-67771,BeCrGe,3,107,tetragonal,0.41462,0.0,train
3962,44981,JVASP-19697,ZrZn2,6,227,cubic,-0.29048,0.0,train
3963,60356,JVASP-100254,TbPu3,8,194,hexagonal,0.3038,0.0,train
3964,2238,JVASP-62221,Na4BeAlSi4ClO12,23,82,tetragonal,-2.76184,4.766,train
3965,54546,JVASP-119916,BHO2,4,156,trigonal,-1.32332,6.543,train
3966,57613,JVASP-127547,CuF3,4,65,orthorhombic,-0.81911,0.0,train
3967,70468,JVASP-155631,YTi2Ge2,5,139,tetragonal,-0.6891,0.0,train
3968,20038,JVASP-107452,LaYZn2,4,225,cubic,-0.39808,0.0,train
3969,64222,JVASP-138502,Cd2Br,3,47,orthorhombic,-0.12555,0.0,train
3970,79740,JVASP-164055,CaSiO3,30,2,triclinic,-3.21417,4.829,train
3971,9758,JVASP-48442,MnOF,24,1,triclinic,-2.09493,0.006,train
3972,52857,JVASP-118242,SnIF,6,129,tetragonal,-1.4611,1.361,train
3973,79893,JVASP-164059,InGaSe3,30,169,hexagonal,-0.5667,1.132,train
3974,46824,JVASP-22383,BaPIr,12,198,cubic,-0.98811,0.0,train
3975,62463,JVASP-138189,AgBrO,6,25,orthorhombic,0.50073,0.0,train
3976,62328,JVASP-140491,NbCr3Cu2S8,28,1,triclinic,-0.69706,0.0,train
3977,82422,JVASP-174749,LiTi2P3O12,36,167,trigonal,-2.6652,2.509,train
3978,30426,JVASP-34998,Mg2Si,6,194,hexagonal,-0.01129,0.0,train
3979,90697,JVASP-192152,AlZnPd2,4,123,tetragonal,-0.72201,0.0,train
3980,19449,JVASP-106501,CdPb3,4,139,tetragonal,0.01903,0.0,train
3981,31809,JVASP-23492,Sr2InPd2,10,15,monoclinic,-0.72915,0.0,train
3982,50690,JVASP-112220,H8PbC6SO4,20,1,triclinic,-0.50556,3.172,train
3983,93318,JVASP-187306,ZrGeIr,3,187,hexagonal,-0.83895,0.0,train
3984,54399,JVASP-117804,InBr2O,4,71,orthorhombic,-0.58895,0.0,train
3985,61672,JVASP-134951,SbHN2,4,99,tetragonal,0.7747,0.0,train
3986,49979,JVASP-114984,GeCl2,3,6,monoclinic,-0.55508,0.803,train
3987,68252,JVASP-145442,Ba3Lu2MoO9,15,164,trigonal,-3.26333,1.767,train
3988,62450,JVASP-144008,Mn6O7F5,18,8,monoclinic,-2.06027,0.0,train
3989,90877,JVASP-189936,NaCoS2,4,160,trigonal,-0.77344,0.603,train
3990,84973,JVASP-173387,Ce3Ta2N6,11,139,tetragonal,-1.55293,0.0,train
3991,48220,JVASP-110589,FeCoSb4,6,10,monoclinic,-0.08429,0.0,train
3992,86796,JVASP-185726,Zr3Cl,4,160,trigonal,-0.37069,0.0,train
3993,6191,JVASP-67274,Be2MoRu,4,99,tetragonal,-0.02662,0.0,train
3994,24675,JVASP-50640,Li2CuF4,14,141,tetragonal,-2.46043,0.395,train
3995,30335,JVASP-49613,Y2Co2O7,22,166,trigonal,-2.35712,0.0,train
3996,24489,JVASP-9391,Na2CuF4,14,14,monoclinic,-2.39557,0.828,train
3997,12746,JVASP-48272,LiCo2O4,14,74,orthorhombic,-1.41859,0.0,train
3998,17516,JVASP-100622,TiMnAs,9,189,hexagonal,-0.60512,0.0,train
3999,82769,JVASP-166296,Ba2YInSe5,18,36,orthorhombic,-1.74577,1.017,train
4000,6020,JVASP-86306,Sr5In3,16,140,tetragonal,-0.39796,0.0,train
4001,48254,JVASP-110435,HoPaRu2,4,225,cubic,-0.47127,0.0,train
4002,52027,JVASP-111394,MnCoO3,10,148,trigonal,-1.42508,0.0,train
4003,22975,JVASP-4792,YbPO4,12,88,tetragonal,-2.69005,0.0,train
4004,36158,JVASP-19773,TmGa3,4,221,cubic,-0.49517,0.0,train
4005,50436,JVASP-112959,AgClO4,24,62,orthorhombic,0.06474,2.672,train
4006,58355,JVASP-126566,HRh3,4,221,cubic,0.75883,0.0,train
4007,31024,JVASP-28913,Te2MoWSe2,12,156,trigonal,-0.31669,0.332,train
4008,73634,JVASP-145716,RbSeO4,18,5,monoclinic,-0.90346,0.742,train
4009,41543,JVASP-43010,Li3Mn4O8,15,166,trigonal,-1.96412,0.0,train
4010,12150,JVASP-92321,Ce3Mg,4,139,tetragonal,0.10443,0.0,train
4011,91192,JVASP-190655,ScAlRh2,4,47,orthorhombic,-1.07416,0.0,train
4012,74689,JVASP-145194,Ba2LuIrO6,10,225,cubic,-2.66473,0.0,train
4013,43633,JVASP-109338,Na2SnHg,4,216,cubic,-0.20581,0.0,train
4014,60436,JVASP-121788,Co6O7F5,18,1,triclinic,-1.38032,0.0,train
4015,15235,JVASP-99763,Eu2HgSb,4,225,cubic,-0.61052,0.0,train
4016,254,JVASP-37189,Mn3Ga,4,225,cubic,0.06965,0.0,train
4017,63671,JVASP-141673,Y2CdSe4,14,227,cubic,-1.59739,0.601,train
4018,38876,JVASP-5458,TiCl2,3,164,trigonal,-1.50184,0.0,train
4019,21081,JVASP-106930,Li5FeS4,10,71,orthorhombic,-1.11227,0.0,train
4020,70785,JVASP-145301,KTmC2O6,20,15,monoclinic,-2.29584,4.424,train
4021,68217,JVASP-154687,Ni3P,16,82,tetragonal,-0.40509,0.0,train
4022,65033,JVASP-136649,GaH2,3,115,tetragonal,0.30213,0.0,train
4023,2280,JVASP-97892,Tl5Se3,32,130,tetragonal,-0.37635,0.0,train
4024,20603,JVASP-102476,CuSnPd2,4,225,cubic,-0.36432,0.0,train
4025,34180,JVASP-39266,LuUO3,5,221,cubic,-2.88802,0.0,train
4026,1166,JVASP-65081,K4BeW,6,216,cubic,1.50186,0.0,train
4027,72821,JVASP-152051,SbSBr,12,62,orthorhombic,-0.51486,1.661,train
4028,31788,JVASP-23208,Ba2SmMoO6,10,225,cubic,-3.0039,2.263,train
4029,44929,JVASP-20972,Na3ScF6,20,14,monoclinic,-3.44253,7.089,train
4030,38507,JVASP-45229,Li3VPCO7,26,4,monoclinic,-2.12198,1.509,train
4031,68806,JVASP-151133,NbCr2,12,194,hexagonal,-0.0229,0.0,train
4032,38626,JVASP-45953,Na2AlPCO7,24,11,monoclinic,-2.33528,5.339,train
4033,53602,JVASP-119713,KCr2FeO8,12,12,monoclinic,-1.87135,0.171,train
4034,11412,JVASP-95042,TaPS,6,71,orthorhombic,-0.85059,0.0,train
4035,74420,JVASP-145416,Er6AgGe2S14,23,143,trigonal,-1.54439,0.0,train
4036,54130,JVASP-120239,H2S,3,123,tetragonal,1.00016,2.245,train
4037,38462,JVASP-46993,Na2NiO2,5,71,orthorhombic,-1.36225,0.679,train
4038,43016,JVASP-109092,Yb3Pr,4,225,cubic,0.05885,0.0,train
4039,62552,JVASP-137926,SiN2,3,47,orthorhombic,0.09358,0.0,train
4040,26729,JVASP-78468,N,1,139,tetragonal,2.95325,0.0,train
4041,7721,JVASP-75765,AsOsAu,3,216,cubic,1.28815,0.0,train
4042,66620,JVASP-144815,DyGaPd2,16,62,orthorhombic,-0.90529,0.0,train
4043,35193,JVASP-39380,Lu2Ta2O5,9,123,tetragonal,-2.53442,0.0,train
4044,13405,JVASP-91276,CeMgPd,9,189,hexagonal,-0.57904,0.0,train
4045,45773,JVASP-54565,CaInPd,12,62,orthorhombic,-0.75405,0.0,train
4046,2080,JVASP-88387,Zr2P2O9,26,12,monoclinic,-2.99136,4.355,train
4047,76729,JVASP-161388,Ca2AcPr,4,225,cubic,0.07274,0.0,train
4048,90574,JVASP-190276,MnAlV,3,107,tetragonal,-0.29759,0.0,train
4049,45348,JVASP-109620,Zr2FeOs,4,225,cubic,-0.47101,0.0,train
4050,6599,JVASP-66738,BeHgIr,3,107,tetragonal,0.04935,0.0,train
4051,31493,JVASP-40939,Pm2MgAl,4,225,cubic,-0.27684,0.0,train
4052,8337,JVASP-92924,Mg6WC,8,38,orthorhombic,0.69344,0.0,train
4053,88716,JVASP-169100,CoB3Rh6,20,8,monoclinic,-0.19756,0.0,train
4054,53822,JVASP-120096,TlMoCl,3,187,hexagonal,0.83319,0.0,train
4055,91855,JVASP-189218,LiCa2AgH,5,123,tetragonal,-0.37042,0.0,train
4056,28598,JVASP-81751,LiCa2Ag,4,139,tetragonal,-0.0274,0.0,train
4057,74405,JVASP-150887,Ba2CuWO6,10,139,tetragonal,-2.41751,0.0,train
4058,59989,JVASP-139781,LiZnBO3,12,9,monoclinic,-2.23212,3.879,train
4059,93077,JVASP-191239,NbCoRu2H,5,123,tetragonal,-0.14287,0.0,train
4060,39321,JVASP-37485,Yb2AgHg,4,225,cubic,-0.5371,0.0,train
4061,25456,JVASP-11189,NaAlAsO4F,16,15,monoclinic,-2.37596,3.792,train
4062,78049,JVASP-166530,AsPbF7,18,2,triclinic,-2.30886,3.891,train
4063,30230,JVASP-13862,BaBOF3,24,62,orthorhombic,-3.34738,6.376,train
4064,12378,JVASP-94287,USnPd,6,194,hexagonal,-0.40906,0.0,train
4065,19074,JVASP-2943,TaCu3Te4,8,215,cubic,-0.23916,1.308,train
4066,66861,JVASP-142603,Li3Mn4O8,30,2,triclinic,-1.97836,0.008,train
4067,55327,JVASP-122055,NdFe4Cu3O12,20,204,cubic,-1.54584,0.0,train
4068,43899,JVASP-108758,Li2TiO3,6,71,orthorhombic,-2.86847,2.171,train
4069,23431,JVASP-47567,Li2CrCo2O6,22,64,orthorhombic,-1.72421,0.034,train
4070,31742,JVASP-36115,KYS2,4,166,trigonal,-2.09229,2.405,train
4071,57573,JVASP-129065,Ce3B,4,221,cubic,0.18236,0.0,train
4072,88295,JVASP-176619,LaMgCu2,8,194,hexagonal,-0.26296,0.0,train
4073,79147,JVASP-179048,CaBF,3,187,hexagonal,-0.78412,0.0,train
4074,48518,JVASP-29264,Sb2Au3F18,46,14,monoclinic,-1.67324,0.178,train
4075,32341,JVASP-41216,Hf2CuOs,4,225,cubic,-0.46745,0.0,train
4076,28805,JVASP-11321,ZnSbF5,14,1,triclinic,-2.36978,4.122,train
4077,37434,JVASP-38047,Na2LiNF6,10,225,cubic,-1.70762,2.617,train
4078,82825,JVASP-176447,MgTi2MnO6,10,146,trigonal,-2.90657,1.068,train
4079,24859,JVASP-33673,IClO,18,148,trigonal,-0.17699,1.222,train
4080,46203,JVASP-17524,TlSbSe2,4,65,orthorhombic,0.36157,0.0,train
4081,2577,JVASP-98033,LaIO,6,129,tetragonal,-3.01427,3.245,train
4082,79968,JVASP-183986,CrFeO,3,187,hexagonal,-0.25051,0.0,train
4083,81272,JVASP-176071,HoSiNi4,6,65,orthorhombic,-0.62678,0.0,train
4084,7903,JVASP-86192,ZrIr,8,63,orthorhombic,-0.9663,0.0,train
4085,68701,JVASP-145785,Er5Ge3C,18,193,hexagonal,-0.81108,0.0,train
4086,70857,JVASP-152795,Li6CoCl8,15,225,cubic,-1.69782,0.0,train
4087,14194,JVASP-105871,YbLuHg2,4,225,cubic,-0.48169,0.0,train
4088,14168,JVASP-99424,HoSnAu2,4,225,cubic,-0.71813,0.0,train
4089,25866,JVASP-56803,Ba3Fe3Se7,26,186,hexagonal,-1.10382,0.0,train
4090,47829,JVASP-59088,Rb3Os2Br9,28,194,hexagonal,-0.89716,0.369,train
4091,43080,JVASP-64455,Ba4TiGa,6,216,cubic,0.82214,0.0,train
4092,1017,JVASP-97817,As2PbO4,28,14,monoclinic,-1.34349,2.809,train
4093,406,JVASP-92195,CeMg6Zn,8,38,orthorhombic,0.01987,0.0,train
4094,86969,JVASP-184293,MoWO3,5,221,cubic,-0.37481,0.0,train
4095,2197,JVASP-65298,K4ZrBe,6,216,cubic,1.17834,0.0,train
4096,1229,JVASP-64921,Mn4BeRe,6,216,cubic,0.09307,0.0,train
4097,464,JVASP-97389,AlFePO5,32,14,monoclinic,-2.3258,0.002,train
4098,6796,JVASP-86709,K2NbCl6,18,128,tetragonal,-1.68831,0.0,train
4099,28280,JVASP-80392,SrCaMg2,4,71,orthorhombic,0.38054,0.0,train
4100,77983,JVASP-172202,AcCu3,8,194,hexagonal,-0.14175,0.0,train
4101,92634,JVASP-187041,HfZr2Ti,4,123,tetragonal,0.06492,0.0,train
4102,77099,JVASP-159712,DyPIrO,8,129,tetragonal,-2.07329,0.0,train
4103,28804,JVASP-36184,CdN,2,221,cubic,1.22855,0.0,train
4104,44960,JVASP-109586,PmTm3,4,221,cubic,0.01757,0.0,train
4105,35649,JVASP-37222,SmTh3,4,221,cubic,0.0458,0.0,train
4106,27032,JVASP-58160,MgCu2O4,14,227,cubic,-1.18406,0.0,train
4107,3198,JVASP-43021,MnSbO4,6,119,tetragonal,-1.53739,0.0,train
4108,77640,JVASP-159445,Ni12P5,17,87,tetragonal,-0.43825,0.0,train
4109,47467,JVASP-33121,RuC3Br2O3,18,12,monoclinic,-0.70735,2.196,train
4110,72014,JVASP-155482,ZrCu2HgSe4,8,121,tetragonal,-0.47159,0.323,train
4111,60268,JVASP-138936,RbSbF,3,187,hexagonal,-0.67958,0.0,train
4112,80666,JVASP-182869,CoSiO2,4,99,tetragonal,-0.84126,0.0,train
4113,57240,JVASP-128867,BaCl,2,221,cubic,-1.74648,0.0,train
4114,35126,JVASP-25288,H,2,139,tetragonal,-0.00097,9.016,train
4115,66533,JVASP-139403,SrLi,2,123,tetragonal,0.38672,0.0,train
4116,78875,JVASP-181241,BaWO3,5,221,cubic,-2.50064,0.0,train
4117,86538,JVASP-161836,K3BaPCO7,26,11,monoclinic,-2.37592,3.764,train
4118,10088,JVASP-71404,CaTiBe2,4,123,tetragonal,0.12768,0.0,train
4119,28451,JVASP-85209,LiLaO2,16,14,monoclinic,-3.06699,3.769,train
4120,12531,JVASP-74379,BeCr4W,6,216,cubic,0.06687,0.0,train
4121,22392,JVASP-103902,ZnH2C3O4,10,5,monoclinic,-0.93368,4.159,train
4122,89913,JVASP-192649,ScCoSnRu,4,216,cubic,-0.47214,0.0,train
4123,9614,JVASP-70817,BeInSe2,4,99,tetragonal,-0.24518,0.0,train
4124,16034,JVASP-101100,Ti3ZnHg4,8,123,tetragonal,0.13471,0.0,train
4125,42696,JVASP-17234,YbGa2,3,191,hexagonal,-0.59077,0.0,train
4126,85662,JVASP-184734,OsF,2,191,hexagonal,-0.50416,0.0,train
4127,65637,JVASP-137200,As3Se,4,8,monoclinic,0.06862,0.0,train
4128,71017,JVASP-145529,MgMnGe2O6,20,15,monoclinic,-1.991,0.076,train
4129,80476,JVASP-180497,CrGeO3,5,221,cubic,-1.11842,0.0,train
4130,4566,JVASP-69218,BaZrBi2,4,123,tetragonal,-0.25631,0.0,train
4131,71955,JVASP-146259,Li4Mn3FeB4O12,24,1,triclinic,-2.14534,0.008,train
4132,23117,JVASP-13020,Cu2PbO2,10,15,monoclinic,-0.8272,0.767,train
4133,74403,JVASP-145184,Mg16Al12Tl,29,217,cubic,-0.04383,0.0,train
4134,4689,JVASP-87854,ErAgSn,9,189,hexagonal,-0.55911,0.0,train
4135,61968,JVASP-138172,AuF3,4,189,hexagonal,-0.48329,0.0,train
4136,24718,JVASP-7831,LiInGe,3,216,cubic,-0.2649,0.0,train
4137,83985,JVASP-178041,Lu2S3,20,62,orthorhombic,-2.20004,0.728,train
4138,78990,JVASP-170269,PrP2Pd2,5,139,tetragonal,-0.95131,0.0,train
4139,6460,JVASP-68848,Be2CdGa,4,123,tetragonal,0.45499,0.0,train
4140,19851,JVASP-15584,PrSi2Ni,8,63,orthorhombic,-0.77128,0.0,train
4141,38997,JVASP-14501,NdPd3,4,221,cubic,-0.81127,0.0,train
4142,24441,JVASP-51399,NaCaSiHO4,16,4,monoclinic,-2.59012,4.812,train
4143,29061,JVASP-52137,Nd2UTe4,14,122,tetragonal,-1.16458,0.0,train
4144,55491,JVASP-123733,HfC,2,187,hexagonal,-0.29759,0.0,train
4145,24685,JVASP-8308,MgTi2N2,5,115,tetragonal,-0.79746,0.0,train
4146,21121,JVASP-104165,H5C5SNO,13,1,triclinic,-0.0342,2.633,train
4147,6516,JVASP-42757,Li5Fe7O3F13,28,1,triclinic,-2.16849,0.0,train
4148,41401,JVASP-46539,LiMnAlO3,12,2,triclinic,-2.38439,1.073,train
4149,39220,JVASP-47130,LiFePO4,14,63,orthorhombic,-2.00522,0.338,train
4150,42919,JVASP-52516,SbO2F,8,9,monoclinic,-1.6175,1.42,train
4151,21231,JVASP-104931,SmZnAgP2,5,156,trigonal,-0.70985,0.398,train
